threshold,tn,fp,fn,tp,precision,recall,f1,tpr,fpr,cost
0.386,638,61,104,197,0.7635658914728682,0.654485049833887,0.7048300536672629,0.6544850498338848,0.08726752503576525,1101.0
0.388,639,60,105,196,0.765625,0.6511627906976745,0.703770197486535,0.6511627906976722,0.08583690987124451,1110.0
0.39,639,60,107,194,0.7637795275590551,0.6445182724252492,0.6990990990990991,0.644518272425247,0.08583690987124451,1130.0
0.392,639,60,107,194,0.7637795275590551,0.6445182724252492,0.6990990990990991,0.644518272425247,0.08583690987124451,1130.0
0.394,640,59,108,193,0.7658730158730159,0.6411960132890365,0.6980108499095841,0.6411960132890344,0.08440629470672377,1139.0
0.396,641,58,109,192,0.768,0.6378737541528239,0.6969147005444646,0.6378737541528218,0.08297567954220303,1148.0
0.398,642,57,109,192,0.7710843373493976,0.6378737541528239,0.6981818181818182,0.6378737541528218,0.08154506437768229,1147.0
0.4,642,57,109,192,0.7710843373493976,0.6378737541528239,0.6981818181818182,0.6378737541528218,0.08154506437768229,1147.0
0.402,642,57,110,191,0.7701612903225806,0.6345514950166113,0.6958105646630237,0.6345514950166091,0.08154506437768229,1157.0
0.404,643,56,110,191,0.7732793522267206,0.6345514950166113,0.6970802919708029,0.6345514950166091,0.08011444921316155,1156.0
0.406,643,56,111,190,0.7723577235772358,0.6312292358803987,0.6946983546617916,0.6312292358803965,0.08011444921316155,1166.0
0.40800000000000003,645,54,111,190,0.7786885245901639,0.6312292358803987,0.6972477064220184,0.6312292358803965,0.07725321888412005,1164.0
0.41000000000000003,646,53,111,190,0.7818930041152263,0.6312292358803987,0.6985294117647058,0.6312292358803965,0.07582260371959931,1163.0
0.41200000000000003,646,53,111,190,0.7818930041152263,0.6312292358803987,0.6985294117647058,0.6312292358803965,0.07582260371959931,1163.0
0.41400000000000003,646,53,111,190,0.7818930041152263,0.6312292358803987,0.6985294117647058,0.6312292358803965,0.07582260371959931,1163.0
0.41600000000000004,647,52,114,187,0.7824267782426778,0.6212624584717608,0.6925925925925925,0.6212624584717586,0.07439198855507857,1192.0
0.418,648,51,114,187,0.7857142857142857,0.6212624584717608,0.6938775510204082,0.6212624584717586,0.07296137339055783,1191.0
0.42,649,50,114,187,0.7890295358649789,0.6212624584717608,0.6951672862453532,0.6212624584717586,0.07153075822603709,1190.0
0.422,652,47,115,186,0.7982832618025751,0.6179401993355482,0.6966292134831461,0.6179401993355461,0.06723891273247487,1197.0
0.424,653,46,115,186,0.8017241379310345,0.6179401993355482,0.6979362101313321,0.6179401993355461,0.06580829756795413,1196.0
0.426,653,46,115,186,0.8017241379310345,0.6179401993355482,0.6979362101313321,0.6179401993355461,0.06580829756795413,1196.0
0.428,654,45,116,185,0.8043478260869565,0.6146179401993356,0.696798493408663,0.6146179401993335,0.06437768240343338,1205.0
0.43,654,45,118,183,0.8026315789473685,0.6079734219269103,0.6918714555765595,0.6079734219269083,0.06437768240343338,1225.0
0.432,654,45,118,183,0.8026315789473685,0.6079734219269103,0.6918714555765595,0.6079734219269083,0.06437768240343338,1225.0
0.434,655,44,118,183,0.8061674008810573,0.6079734219269103,0.6931818181818182,0.6079734219269083,0.06294706723891264,1224.0
0.436,655,44,118,183,0.8061674008810573,0.6079734219269103,0.6931818181818182,0.6079734219269083,0.06294706723891264,1224.0
0.438,656,43,118,183,0.8097345132743363,0.6079734219269103,0.6944971537001897,0.6079734219269083,0.0615164520743919,1223.0
0.44,656,43,120,181,0.8080357142857143,0.6013289036544851,0.6895238095238095,0.601328903654483,0.0615164520743919,1243.0
0.442,656,43,120,181,0.8080357142857143,0.6013289036544851,0.6895238095238095,0.601328903654483,0.0615164520743919,1243.0
0.444,656,43,120,181,0.8080357142857143,0.6013289036544851,0.6895238095238095,0.601328903654483,0.0615164520743919,1243.0
0.446,656,43,121,180,0.8071748878923767,0.5980066445182725,0.6870229007633588,0.5980066445182703,0.0615164520743919,1253.0
0.448,658,41,122,179,0.8136363636363636,0.5946843853820598,0.6871401151631478,0.5946843853820578,0.058655221745350414,1261.0
0.45,659,40,122,179,0.817351598173516,0.5946843853820598,0.6884615384615385,0.5946843853820578,0.05722460658082967,1260.0
0.452,659,40,123,178,0.8165137614678899,0.5913621262458472,0.6859344894026975,0.5913621262458452,0.05722460658082967,1270.0
0.454,659,40,123,178,0.8165137614678899,0.5913621262458472,0.6859344894026975,0.5913621262458452,0.05722460658082967,1270.0
0.456,659,40,123,178,0.8165137614678899,0.5913621262458472,0.6859344894026975,0.5913621262458452,0.05722460658082967,1270.0
0.458,660,39,123,178,0.8202764976958525,0.5913621262458472,0.6872586872586872,0.5913621262458452,0.05579399141630893,1269.0
0.46,660,39,124,177,0.8194444444444444,0.5880398671096345,0.6847195357833655,0.5880398671096325,0.05579399141630893,1279.0
0.462,660,39,124,177,0.8194444444444444,0.5880398671096345,0.6847195357833655,0.5880398671096325,0.05579399141630893,1279.0
0.464,664,35,125,176,0.8341232227488151,0.584717607973422,0.6875,0.58471760797342,0.050071530758225964,1285.0
0.466,664,35,125,176,0.8341232227488151,0.584717607973422,0.6875,0.58471760797342,0.050071530758225964,1285.0
0.468,666,33,127,174,0.8405797101449275,0.5780730897009967,0.6850393700787402,0.5780730897009947,0.04721030042918448,1303.0
0.47000000000000003,667,32,127,174,0.8446601941747572,0.5780730897009967,0.6863905325443787,0.5780730897009947,0.045779685264663736,1302.0
0.47200000000000003,667,32,127,174,0.8446601941747572,0.5780730897009967,0.6863905325443787,0.5780730897009947,0.045779685264663736,1302.0
0.47400000000000003,667,32,127,174,0.8446601941747572,0.5780730897009967,0.6863905325443787,0.5780730897009947,0.045779685264663736,1302.0
0.47600000000000003,667,32,127,174,0.8446601941747572,0.5780730897009967,0.6863905325443787,0.5780730897009947,0.045779685264663736,1302.0
0.47800000000000004,668,31,127,174,0.848780487804878,0.5780730897009967,0.6877470355731226,0.5780730897009947,0.044349070100142995,1301.0
0.48,668,31,127,174,0.848780487804878,0.5780730897009967,0.6877470355731226,0.5780730897009947,0.044349070100142995,1301.0
0.482,670,29,128,173,0.8564356435643564,0.574750830564784,0.6878727634194831,0.574750830564782,0.041487839771101515,1309.0
0.484,670,29,129,172,0.8557213930348259,0.5714285714285714,0.6852589641434262,0.5714285714285695,0.041487839771101515,1319.0
0.486,671,28,129,172,0.86,0.5714285714285714,0.6866267465069861,0.5714285714285695,0.040057224606580774,1318.0
0.488,671,28,129,172,0.86,0.5714285714285714,0.6866267465069861,0.5714285714285695,0.040057224606580774,1318.0
0.49,671,28,130,171,0.8592964824120602,0.5681063122923588,0.684,0.5681063122923569,0.040057224606580774,1328.0
0.492,672,27,130,171,0.8636363636363636,0.5681063122923588,0.685370741482966,0.5681063122923569,0.03862660944206003,1327.0
0.494,672,27,130,171,0.8636363636363636,0.5681063122923588,0.685370741482966,0.5681063122923569,0.03862660944206003,1327.0
0.496,672,27,130,171,0.8636363636363636,0.5681063122923588,0.685370741482966,0.5681063122923569,0.03862660944206003,1327.0
0.498,672,27,131,170,0.8629441624365483,0.5647840531561462,0.6827309236947792,0.5647840531561442,0.03862660944206003,1337.0
0.5,672,27,132,169,0.8622448979591837,0.5614617940199336,0.6800804828973843,0.5614617940199317,0.03862660944206003,1347.0
0.502,673,26,132,169,0.8666666666666667,0.5614617940199336,0.6814516129032258,0.5614617940199317,0.037195994277539286,1346.0
0.504,673,26,133,168,0.865979381443299,0.5581395348837209,0.6787878787878788,0.558139534883719,0.037195994277539286,1356.0
0.506,673,26,133,168,0.865979381443299,0.5581395348837209,0.6787878787878788,0.558139534883719,0.037195994277539286,1356.0
0.508,673,26,133,168,0.865979381443299,0.5581395348837209,0.6787878787878788,0.558139534883719,0.037195994277539286,1356.0
0.51,673,26,133,168,0.865979381443299,0.5581395348837209,0.6787878787878788,0.558139534883719,0.037195994277539286,1356.0
0.512,673,26,134,167,0.8652849740932642,0.5548172757475083,0.6761133603238867,0.5548172757475064,0.037195994277539286,1366.0
0.514,674,25,134,167,0.8697916666666666,0.5548172757475083,0.6774847870182555,0.5548172757475064,0.035765379113018546,1365.0
0.516,674,25,135,166,0.8691099476439791,0.5514950166112956,0.6747967479674797,0.5514950166112939,0.035765379113018546,1375.0
